編號,成語,注音,漢語拼音
72.0,明察秋毫,ㄇㄧㄥˊ　ㄔㄚˊ　ㄑㄧㄡ　ㄏㄠˊ,míng chá qiū háo
73.0,作威作福,ㄗㄨㄛˋ　ㄨㄟ　ㄗㄨㄛˋ　ㄈㄨˊ,zuò wēi zuò fú
74.0,兩袖清風,ㄌㄧㄤˇ　ㄒㄧㄡˋ　ㄑㄧㄥ　ㄈㄥ,liǎng xiù qīng fēng
75.0,明目張膽,ㄇㄧㄥˊ　ㄇㄨˋ　ㄓㄤ　ㄉㄢˇ,míng mù zhāng dǎn
76.0,肝膽相照,ㄍㄢ　ㄉㄢˇ　ㄒㄧㄤ　ㄓㄠˋ,gān dǎn xiāng zhào
77.0,民不聊生,ㄇㄧㄣˊ　ㄅㄨˋ　ㄌㄧㄠˊ　ㄕㄥ,mín bù liáo shēng 
78.0,明哲保身,ㄇㄧㄥˊ　ㄓㄜˊ　ㄅㄠˇ　ㄕㄣ,míng zhé bǎo shēn
79.0,妄自菲薄,ㄨㄤˋ　ㄗˋ　ㄈㄟˇ　ㄅㄛˊ,wàng zì fěi bó
80.0,泥牛入海,ㄋㄧˊ　ㄋㄧㄡˊ　ㄖㄨˋ　ㄏㄞˇ,ní niú rù hǎi
81.0,休戚相關,ㄒㄧㄡ　ㄑㄧ　ㄒㄧㄤ　ㄍㄨㄢ,xiū qī xiāng guān
82.0,重整旗鼓,ㄔㄨㄥˊ　ㄓㄥˇ　ㄑㄧˊ　ㄍㄨˇ,chóng zhěng qí gǔ
83.0,脣亡齒寒,ㄔㄨㄣˊ　ㄨㄤˊ　ㄔˇ　ㄏㄢˊ,chún wáng chǐ hán
84.0,文過飾非,ㄨㄣˋ　ㄍㄨㄛˋ　ㄕˋ　ㄈㄟ,wèn guò shì fēi
85.0,別出心裁,ㄅㄧㄝˊ　ㄔㄨ　ㄒㄧㄣ　ㄘㄞˊ,bié chū xīn cái
86.0,大公無私,ㄉㄚˋ　ㄍㄨㄥ　ㄨˊ　ㄙ,dà gōng wú sī
87.0,落井下石,ㄌㄨㄛˋ　ㄐㄧㄥˇ　ㄒㄧㄚˋ　ㄕˊ,luò jǐng xià shí
88.0,臨渴掘井,ㄌㄧㄣˊ　ㄎㄜˇ　ㄐㄩㄝˊ　ㄐㄧㄥˇ,lín kě jué jǐng
89.0,八面玲瓏,ㄅㄚ　ㄇㄧㄢˋ　ㄌㄧㄥˊ　ㄌㄨㄥˊ,bā miàn líng lóng
90.0,一揮而就,ㄧ　ㄏㄨㄟ　ㄦˊ　ㄐㄧㄡˋ　（變）　ㄧˋ　ㄏㄨㄟ　ㄦˊ　ㄐㄧㄡˋ,yī huī ér jiù （變） yì huī ér jiù
91.0,一意孤行,ㄧ　ㄧˋ　ㄍㄨ　ㄒㄧㄥˊ　（變）　ㄧˊ　ㄧˋ　ㄍㄨ　ㄒㄧㄥˊ,yī yì gū xíng （變） yí yì gū xíng
92.0,汗牛充棟,ㄏㄢˋ　ㄋㄧㄡˊ　ㄔㄨㄥ　ㄉㄨㄥˋ,hàn niú chōng dòng
93.0,仰人鼻息,ㄧㄤˇ　ㄖㄣˊ　ㄅㄧˊ　ㄒㄧˊ,yǎng rén bí xí
94.0,乳臭未乾,ㄖㄨˇ　ㄒㄧㄡˋ　ㄨㄟˋ　ㄍㄢ,rǔ xiù wèi gān
95.0,開門揖盜,ㄎㄞ　ㄇㄣˊ　ㄧ　ㄉㄠˋ,kāi mén yī dào
96.0,危如累卵,ㄨㄟˊ　ㄖㄨˊ　ㄌㄟˇ　ㄌㄨㄢˇ,wéi rú lěi luǎn
97.0,得意忘形,ㄉㄜˊ　ㄧˋ　ㄨㄤˋ　ㄒㄧㄥˊ,dé yì wàng xíng
98.0,三令五申,ㄙㄢ　ㄌㄧㄥˋ　ㄨˇ　ㄕㄣ,sān lìng wǔ shēn
99.0,短兵相接,ㄉㄨㄢˇ　ㄅㄧㄥ　ㄒㄧㄤ　ㄐㄧㄝ,duǎn bīng xiāng jiē
100.0,按部就班,ㄢˋ　ㄅㄨˋ　ㄐㄧㄡˋ　ㄅㄢ,àn bù jiù bān
101.0,錦上添花,ㄐㄧㄣˇ　ㄕㄤˋ　ㄊㄧㄢ　ㄏㄨㄚ,jǐn shàng tiān huā
102.0,得隴望蜀,ㄉㄜˊ　ㄌㄨㄥˇ　ㄨㄤˋ　ㄕㄨˇ,dé lǒng wàng shǔ
103.0,沾沾自喜,ㄓㄢ　ㄓㄢ　ㄗˋ　ㄒㄧˇ,zhān zhān zì xǐ
104.0,毛遂自薦,ㄇㄠˊ　ㄙㄨㄟˋ　ㄗˋ　ㄐㄧㄢˋ,máo suì zì jiàn
105.0,外強中乾,ㄨㄞˋ　ㄑㄧㄤˊ　ㄓㄨㄥ　ㄍㄢ,wài qiáng zhōng gān
106.0,井井有條,ㄐㄧㄥˇ　ㄐㄧㄥˇ　ㄧㄡˇ　ㄊㄧㄠˊ,jǐng jǐng yǒu tiáo
107.0,六神無主,ㄌㄧㄡˋ　ㄕㄣˊ　ㄨˊ　ㄓㄨˇ,liù shén wú zhǔ
108.0,本末倒置,ㄅㄣˇ　ㄇㄛˋ　ㄉㄠˋ　ㄓˋ,běn mò dào zhì
109.0,良莠不齊,ㄌㄧㄤˊ　ㄧㄡˋ　ㄅㄨˋ　ㄑㄧˊ,liáng yòu bù qí
110.0,水乳交融,ㄕㄨㄟˇ　ㄖㄨˇ　ㄐㄧㄠ　ㄖㄨㄥˊ,shuǐ rǔ jiāo róng
111.0,夜以繼日,ㄧㄝˋ　ㄧˇ　ㄐㄧˋ　ㄖˋ,yè yǐ jì rì
112.0,防微杜漸,ㄈㄤˊ　ㄨㄟˊ　ㄉㄨˋ　ㄐㄧㄢˋ,fáng wéi dù jiàn
113.0,岌岌可危,ㄐㄧˊ　ㄐㄧˊ　ㄎㄜˇ　ㄨㄟˊ,jí jí kě wéi
114.0,沽名釣譽,ㄍㄨ　ㄇㄧㄥˊ　ㄉㄧㄠˋ　ㄩˋ,gū míng diào yù
115.0,以訛傳訛,ㄧˇ　ㄜˊ　ㄔㄨㄢˊ　ㄜˊ,yǐ é chuán é
116.0,一落千丈,ㄧ　ㄌㄨㄛˋ　ㄑㄧㄢ　ㄓㄤˋ　（變）　ㄧˊ　ㄌㄨㄛˋ　ㄑㄧㄢ　ㄓㄤˋ,yī luò qiān zhàng （變） yí luò qiān zhàng
117.0,一針見血,ㄧ　ㄓㄣ　ㄐㄧㄢˋ　ㄒㄧㄝˇ　（變）　ㄧˋ　ㄓㄣ　ㄐㄧㄢˋ　ㄒㄧㄝˇ,yī zhēn jiàn xiě （變） yì zhēn jiàn xiě
118.0,萬籟俱寂,ㄨㄢˋ　ㄌㄞˋ　ㄐㄩˋ　ㄐㄧˊ,wàn lài jù jí
119.0,笑容可掬,ㄒㄧㄠˋ　ㄖㄨㄥˊ　ㄎㄜˇ　ㄐㄩˊ,xiào róng kě jú
120.0,揮金如土,ㄏㄨㄟ　ㄐㄧㄣ　ㄖㄨˊ　ㄊㄨˇ,huī jīn rú tǔ
121.0,嗤之以鼻,ㄔ　ㄓ　ㄧˇ　ㄅㄧˊ,chī zhī yǐ bí
122.0,急流勇退,ㄐㄧˊ　ㄌㄧㄡˊ　ㄩㄥˇ　ㄊㄨㄟˋ,jí liú yǒng tuì
123.0,赴湯蹈火,ㄈㄨˋ　ㄊㄤ　ㄉㄠˋ　ㄏㄨㄛˇ,fù tāng dào huǒ
124.0,包藏禍心,ㄅㄠ　ㄘㄤˊ　ㄏㄨㄛˋ　ㄒㄧㄣ,bāo cáng huò xīn
125.0,旗鼓相當,ㄑㄧˊ　ㄍㄨˇ　ㄒㄧㄤ　ㄉㄤ,qí gǔ xiāng dāng
