編號,成語,注音,漢語拼音
3020.0,發兵問罪,ㄈㄚ　ㄅㄧㄥ　ㄨㄣˋ　ㄗㄨㄟˋ,fā bīng wèn zuì
3021.0,待兔守株,ㄉㄞˋ　ㄊㄨˋ　ㄕㄡˇ　ㄓㄨ,dài tù shǒu zhū
3022.0,華而少實,ㄏㄨㄚˊ　ㄦˊ　ㄕㄠˇ　ㄕˊ,huá ér shǎo shí
3023.0,待勞以逸,ㄉㄞˋ　ㄌㄠˊ　ㄧˇ　ㄧˋ,dài láo yǐ yì
3024.0,射影含沙,ㄕㄜˋ　ㄧㄥˇ　ㄏㄢˊ　ㄕㄚ,shè yǐng hán shā
3025.0,休戚共之,ㄒㄧㄡ　ㄑㄧ　ㄍㄨㄥˋ　ㄓ,xiū qī gòng zhī
3026.0,特開生面,ㄊㄜˋ　ㄎㄞ　ㄕㄥ　ㄇㄧㄢˋ,tè kāi shēng miàn
3027.0,特書大書,ㄊㄜˋ　ㄕㄨ　ㄉㄚˋ　ㄕㄨ,tè shū dà shū
3028.0,借劍殺人,ㄐㄧㄝˋ　ㄐㄧㄢˋ　ㄕㄚ　ㄖㄣˊ,jiè jiàn shā rén
3029.0,倚馬立成,ㄧˇ　ㄇㄚˇ　ㄌㄧˋ　ㄔㄥˊ,yǐ mǎ lì chéng
3030.0,儲精蓄銳,ㄔㄨˊ　ㄐㄧㄥ　ㄒㄩˋ　ㄖㄨㄟˋ,chú jīng xù ruì
3031.0,借水推船,ㄐㄧㄝˋ　ㄕㄨㄟˇ　ㄊㄨㄟ　ㄔㄨㄢˊ,jiè shuǐ tuī chuán
3032.0,山窮水絕,ㄕㄢ　ㄑㄩㄥˊ　ㄕㄨㄟˇ　ㄐㄩㄝˊ,shān qióng shuǐ jué
3033.0,山窮水斷,ㄕㄢ　ㄑㄩㄥˊ　ㄕㄨㄟˇ　ㄉㄨㄢˋ,shān qióng shuǐ duàn
3034.0,偽張聲勢,ㄨㄟˋ　ㄓㄤ　ㄕㄥ　ㄕˋ,wèi zhāng shēng shì
3035.0,倚馬才,ㄧˇ　ㄇㄚˇ　ㄘㄞˊ,yǐ mǎ cái
3036.0,牛馬風,ㄋㄧㄡˊ　ㄇㄚˇ　ㄈㄥ,niú mǎ fēng
3037.0,生齒塗炭,ㄕㄥ　ㄔˇ　ㄊㄨˊ　ㄊㄢˋ,shēng chǐ tú tàn
3038.0,山海之盟,ㄕㄢ　ㄏㄞˇ　ㄓ　ㄇㄥˊ,shān hǎi zhī méng
3039.0,自保不暇,ㄗˋ　ㄅㄠˇ　ㄅㄨˋ　ㄒㄧㄚˊ,zì bǎo bù xiá
3040.0,生面獨開,ㄕㄥ　ㄇㄧㄢˋ　ㄉㄨˊ　ㄎㄞ,shēng miàn dú kāi
3041.0,觸類可通,ㄔㄨˋ　ㄌㄟˋ　ㄎㄜˇ　ㄊㄨㄥ,chù lèi kě tōng
3042.0,納善如流,ㄋㄚˋ　ㄕㄢˋ　ㄖㄨˊ　ㄌㄧㄡˊ,nà shàn rú liú
3043.0,自起爐灶,ㄗˋ　ㄑㄧˇ　ㄌㄨˊ　ㄗㄠˋ,zì qǐ lú zào
3044.0,自開生面,ㄗˋ　ㄎㄞ　ㄕㄥ　ㄇㄧㄢˋ,zì kāi shēng miàn
3045.0,白手空拳,ㄅㄞˊ　ㄕㄡˇ　ㄎㄨㄥ　ㄑㄩㄢˊ,bái shǒu kōng quán
3046.0,失魂蕩魄,ㄕ　ㄏㄨㄣˊ　ㄉㄤˋ　ㄆㄛˋ,shī hún dàng pò
3047.0,自命非凡,ㄗˋ　ㄇㄧㄥˋ　ㄈㄟ　ㄈㄢˊ,zì mìng fēi fán
3048.0,自棄自暴,ㄗˋ　ㄑㄧˋ　ㄗˋ　ㄅㄠˋ,zì qì zì bào
3049.0,自宵達旦,ㄗˋ　ㄒㄧㄠ　ㄉㄚˊ　ㄉㄢˋ,zì xiāo dá dàn
3050.0,失馬塞翁,ㄕ　ㄇㄚˇ　ㄙㄞˋ　ㄨㄥ,shī mǎ sài wēng
3051.0,自成機杼,ㄗˋ　ㄔㄥˊ　ㄐㄧ　ㄓㄨˋ,zì chéng jī zhù
3052.0,伯仲間,ㄅㄛˊ　ㄓㄨㄥˋ　ㄐㄧㄢ,bó zhòng jiān
3053.0,自固不暇,ㄗˋ　ㄍㄨˋ　ㄅㄨˋ　ㄒㄧㄚˊ,zì gù bù xiá
3054.0,侃侃直談,ㄎㄢˇ　ㄎㄢˇ　ㄓˊ　ㄊㄢˊ,kǎn kǎn zhí tán
3055.0,自暴棄,ㄗˋ　ㄅㄠˋ　ㄑㄧˋ,zì bào qì
3056.0,得此失彼,ㄉㄜˊ　ㄘˇ　ㄕ　ㄅㄧˇ,dé cǐ shī bǐ
3057.0,得寸覷尺,ㄉㄜˊ　ㄘㄨㄣˋ　ㄑㄩˋ　ㄔˇ,dé cùn qù chǐ
3058.0,侃侃正論,ㄎㄢˇ　ㄎㄢˇ　ㄓㄥˋ　ㄌㄨㄣˋ,kǎn kǎn zhèng lùn
3059.0,失所流離,ㄕ　ㄙㄨㄛˇ　ㄌㄧㄡˊ　ㄌㄧˊ,shī suǒ liú lí
3060.0,觸目崩心,ㄔㄨˋ　ㄇㄨˋ　ㄅㄥ　ㄒㄧㄣ,chù mù bēng xīn
3061.0,和衷協濟,ㄏㄜˊ　ㄓㄨㄥ　ㄒㄧㄝˊ　ㄐㄧˋ,hé zhōng xié jì
3062.0,觸而即發,ㄔㄨˋ　ㄦˊ　ㄐㄧˊ　ㄈㄚ,chù ér jí fā
3063.0,堅城清野,ㄐㄧㄢ　ㄔㄥˊ　ㄑㄧㄥ　ㄧㄝˇ,jiān chéng qīng yě
3064.0,魚水相得,ㄩˊ　ㄕㄨㄟˇ　ㄒㄧㄤ　ㄉㄜˊ,yú shuǐ xiāng dé
3065.0,魚得忘筌,ㄩˊ　ㄉㄜˊ　ㄨㄤˋ　ㄑㄩㄢˊ,yú dé wàng quán
3066.0,魚目入珠,ㄩˊ　ㄇㄨˋ　ㄖㄨˋ　ㄓㄨ,yú mù rù zhū
3067.0,息鼓偃旗,ㄒㄧˊ　ㄍㄨˇ　ㄧㄢˇ　ㄑㄧˊ,xí gǔ yǎn qí
3068.0,息心靜氣,ㄒㄧˊ　ㄒㄧㄣ　ㄐㄧㄥˋ　ㄑㄧˋ,xí xīn jìng qì
3069.0,積薪居上,ㄐㄧ　ㄒㄧㄣ　ㄐㄩ　ㄕㄤˋ,jī xīn jū shàng
3070.0,體貼入妙,ㄊㄧˇ　ㄊㄧㄝ　ㄖㄨˋ　ㄇㄧㄠˋ,tǐ tiē rù miào
3071.0,絕禍未萌,ㄐㄩㄝˊ　ㄏㄨㄛˋ　ㄨㄟˋ　ㄇㄥˊ,jué huò wèi méng
3072.0,綱提領挈,ㄍㄤ　ㄊㄧˊ　ㄌㄧㄥˇ　ㄑㄧˋ,gāng tí lǐng qì
3073.0,綢繆未雨,ㄔㄡˊ　ㄇㄡˊ　ㄨㄟˋ　ㄩˇ,chóu móu wèi yǔ
3074.0,得不償費,ㄉㄜˊ　ㄅㄨˋ　ㄔㄤˊ　ㄈㄟˋ,dé bù cháng fèi
3075.0,絕後空前,ㄐㄩㄝˊ　ㄏㄡˋ　ㄎㄨㄥ　ㄑㄧㄢˊ,jué hòu kōng qián
3076.0,絕類離倫,ㄐㄩㄝˊ　ㄌㄟˋ　ㄌㄧˊ　ㄌㄨㄣˊ,jué lèi lí lún
3077.0,體物入微,ㄊㄧˇ　ㄨˋ　ㄖㄨˋ　ㄨㄟˊ,tǐ wù rù wéi
3078.0,烏集之眾,ㄨ　ㄐㄧˊ　ㄓ　ㄓㄨㄥˋ,wū jí zhī zhòng
3079.0,體無完肌,ㄊㄧˇ　ㄨˊ　ㄨㄢˊ　ㄐㄧ,tǐ wú wán jī
3080.0,體無完皮,ㄊㄧˇ　ㄨˊ　ㄨㄢˊ　ㄆㄧˊ,tǐ wú wán pí
3081.0,烏有子虛,ㄨ　ㄧㄡˇ　ㄗˇ　ㄒㄩ,wū yǒu zǐ xū
3082.0,得趣忘形,ㄉㄜˊ　ㄑㄩˋ　ㄨㄤˋ　ㄒㄧㄥˊ,dé qù wàng xíng
3083.0,失魄亡魂,ㄕ　ㄆㄛˋ　ㄨㄤˊ　ㄏㄨㄣˊ,shī pò wáng hún
3084.0,緣木希魚,ㄩㄢˊ　ㄇㄨˋ　ㄒㄧ　ㄩˊ,yuán mù xī yú
3085.0,魚目亂珠,ㄩˊ　ㄇㄨˋ　ㄌㄨㄢˋ　ㄓㄨ,yú mù luàn zhū
3086.0,紹往開來,ㄕㄠˋ　ㄨㄤˇ　ㄎㄞ　ㄌㄞˊ,shào wǎng kāi lái
3087.0,魚目為珠,ㄩˊ　ㄇㄨˋ　ㄨㄟˊ　ㄓㄨ,yú mù wéi zhū
3088.0,魚目混珍,ㄩˊ　ㄇㄨˋ　ㄏㄨㄣˋ　ㄓㄣ,yú mù hùn zhēn
3089.0,體恤入微,ㄊㄧˇ　ㄒㄩˋ　ㄖㄨˋ　ㄨㄟˊ,tǐ xù rù wéi
3090.0,失馬翁,ㄕ　ㄇㄚˇ　ㄨㄥ,shī mǎ wēng
3091.0,危言駭世,ㄨㄟˊ　ㄧㄢˊ　ㄏㄞˋ　ㄕˋ,wéi yán hài shì
3092.0,危於重卵,ㄨㄟˊ　ㄩˊ　ㄔㄨㄥˊ　ㄌㄨㄢˇ,wéi yú chóng luǎn
3093.0,向狐謀裘,ㄒㄧㄤˋ　ㄏㄨˊ　ㄇㄡˊ　ㄑㄧㄡˊ,xiàng hú móu qiú
3094.0,急於星火,ㄐㄧˊ　ㄩˊ　ㄒㄧㄥ　ㄏㄨㄛˇ,jí yú xīng huǒ
3095.0,急星火,ㄐㄧˊ　ㄒㄧㄥ　ㄏㄨㄛˇ,jí xīng huǒ
3096.0,憊於奔命,ㄅㄟˋ　ㄩˊ　ㄅㄣ　ㄇㄧㄥˋ,bèi yú bēn mìng
3097.0,兔三窟,ㄊㄨˋ　ㄙㄢ　ㄎㄨ,tù sān kū
3098.0,鬼出神入,ㄍㄨㄟˇ　ㄔㄨ　ㄕㄣˊ　ㄖㄨˋ,guǐ chū shén rù
3099.0,身無寸鐵,ㄕㄣ　ㄨˊ　ㄘㄨㄣˋ　ㄊㄧㄝˇ,shēn wú cùn tiě
3100.0,物至而反,ㄨˋ　ㄓˋ　ㄦˊ　ㄈㄢˇ,wù zhì ér fǎn
3101.0,俱傷兩敗,ㄐㄩˋ　ㄕㄤ　ㄌㄧㄤˇ　ㄅㄞˋ,jù shāng liǎng bài
3102.0,各千秋,ㄍㄜˋ　ㄑㄧㄢ　ㄑㄧㄡ,gè qiān qiū
3103.0,貉一丘,ㄏㄜˊ　ㄧ　ㄑㄧㄡ　（變）　ㄏㄜˊ　ㄧˋ　ㄑㄧㄡ,hé yī qiū （變） hé yì qiū
3104.0,解紛排難,ㄐㄧㄝˇ　ㄈㄣ　ㄆㄞˊ　ㄋㄢˋ,jiě fēn pái nàn 
3105.0,名實不副,ㄇㄧㄥˊ　ㄕˊ　ㄅㄨˋ　ㄈㄨˋ　（變）　ㄇㄧㄥˊ　ㄕˊ　ㄅㄨˊ　ㄈㄨˋ,míng shí bù fù （變） míng shí bú fù
3106.0,敻然不同,ㄒㄩㄥˋ　ㄖㄢˊ　ㄅㄨˋ　ㄊㄨㄥˊ,xiòng rán bù tóng
3107.0,各有千古,ㄍㄜˋ　ㄧㄡˇ　ㄑㄧㄢ　ㄍㄨˇ,gè yǒu qiān gǔ
3108.0,㕙盡盧烹,ㄐㄩㄣˋ　ㄐㄧㄣˋ　ㄌㄨˊ　ㄆㄥ,jùn jìn lú pēng 
3109.0,翻天作地,ㄈㄢ　ㄊㄧㄢ　ㄗㄨㄛˋ　ㄉㄧˋ,fān tiān zuò dì
3110.0,翻天攪地,ㄈㄢ　ㄊㄧㄢ　ㄐㄧㄠˇ　ㄉㄧˋ,fān tiān jiǎo dì
3111.0,僅識之無,ㄐㄧㄣˇ　ㄕˋ　ㄓ　ㄨˊ,jǐn shì zhī wú
3112.0,色飛眉舞,ㄙㄜˋ　ㄈㄟ　ㄇㄟˊ　ㄨˇ,sè fēi méi wǔ
3113.0,色舞眉飛,ㄙㄜˋ　ㄨˇ　ㄇㄟˊ　ㄈㄟ,sè wǔ méi fēi
3114.0,飢寧擇食,ㄐㄧ　ㄋㄧㄥˊ　ㄗㄜˊ　ㄕˊ,jī níng zé shí
3115.0,包藏禍胎,ㄅㄠ　ㄘㄤˊ　ㄏㄨㄛˋ　ㄊㄞ,bāo cáng huò tāi
3116.0,殷殷不倦,ㄧㄣ　ㄧㄣ　ㄅㄨˋ　ㄐㄩㄢˋ　（變）　ㄧㄣ　ㄧㄣ　ㄅㄨˊ　ㄐㄩㄢˋ,yīn yīn bù juàn （變） yīn yīn bú juàn
3117.0,飽食豐衣,ㄅㄠˇ　ㄕˊ　ㄈㄥ　ㄧ,bǎo shí fēng yī
3118.0,僅辨菽麥,ㄐㄧㄣˇ　ㄅㄧㄢˋ　ㄕㄨˊ　ㄇㄞˋ,jǐn biàn shú mài
3119.0,飲鴆救渴,ㄧㄣˇ　ㄓㄣˋ　ㄐㄧㄡˋ　ㄎㄜˇ,yǐn zhèn jiù kě
3120.0,包含萬象,ㄅㄠ　ㄏㄢˊ　ㄨㄢˋ　ㄒㄧㄤˋ,bāo hán wàn xiàng
3121.0,負德忘恩,ㄈㄨˋ　ㄉㄜˊ　ㄨㄤˋ　ㄣ,fù dé wàng ēn
3122.0,假人鼻息,ㄐㄧㄚˇ　ㄖㄣˊ　ㄅㄧˊ　ㄒㄧˊ,jiǎ rén bí xí
3123.0,假公營私,ㄐㄧㄚˇ　ㄍㄨㄥ　ㄧㄥˊ　ㄙ,jiǎ gōng yíng sī
3124.0,名不虛得,ㄇㄧㄥˊ　ㄅㄨˋ　ㄒㄩ　ㄉㄜˊ,míng bù xū dé
3125.0,炙手之勢,ㄓˋ　ㄕㄡˇ　ㄓ　ㄕˋ,zhì shǒu zhī shì
3126.0,移天換日,ㄧˊ　ㄊㄧㄢ　ㄏㄨㄢˋ　ㄖˋ,yí tiān huàn rì
3127.0,移手上下,ㄧˊ　ㄕㄡˇ　ㄕㄤˋ　ㄒㄧㄚˋ,yí shǒu shàng xià
3128.0,釋生取義,ㄕˋ　ㄕㄥ　ㄑㄩˇ　ㄧˋ,shì shēng qǔ yì
3129.0,稱功頌德,ㄔㄥ　ㄍㄨㄥ　ㄙㄨㄥˋ　ㄉㄜˊ,chēng gōng sòng dé
3130.0,臨淵履冰,ㄌㄧㄣˊ　ㄩㄢ　ㄌㄩˇ　ㄅㄧㄥ,lín yuān lǚ bīng
3131.0,臨渴之掘,ㄌㄧㄣˊ　ㄎㄜˇ　ㄓ　ㄐㄩㄝˊ,lín kě zhī jué
3132.0,縱過飾非,ㄗㄨㄥˋ　ㄍㄨㄛˋ　ㄕˋ　ㄈㄟ,zòng guò shì fēi
3133.0,各自為謀,ㄍㄜˋ　ㄗˋ　ㄨㄟˊ　ㄇㄡˊ,gè zì wéi móu
3134.0,縱心所欲,ㄗㄨㄥˋ　ㄒㄧㄣ　ㄙㄨㄛˇ　ㄩˋ,zòng xīn suǒ yù
3135.0,縱虎入室,ㄗㄨㄥˋ　ㄏㄨˇ　ㄖㄨˋ　ㄕˋ,zòng hǔ rù shì
3136.0,似漆如膠,ㄙˋ　ㄑㄧ　ㄖㄨˊ　ㄐㄧㄠ,sì qī rú jiāo
3137.0,鮮得要領,ㄒㄧㄢˇ　ㄉㄜˊ　ㄧㄠˋ　ㄌㄧㄥˇ,xiǎn dé yào lǐng
3138.0,作模作樣,ㄗㄨㄛˋ　ㄇㄛˊ　ㄗㄨㄛˋ　ㄧㄤˋ,zuò mó zuò yàng
3139.0,鮮廉寡恥,ㄒㄧㄢˇ　ㄌㄧㄢˊ　ㄍㄨㄚˇ　ㄔˇ,xiǎn lián guǎ chǐ
3140.0,徹桑未雨,ㄔㄜˋ　ㄙㄤ　ㄨㄟˋ　ㄩˇ,chè sāng wèi yǔ
3141.0,價等連城,ㄐㄧㄚˋ　ㄉㄥˇ　ㄌㄧㄢˊ　ㄔㄥˊ,jià děng lián chéng
3142.0,傷矢之禽,ㄕㄤ　ㄕˇ　ㄓ　ㄑㄧㄣˊ,shāng shǐ zhī qín
3143.0,攸向靡披,ㄧㄡ　ㄒㄧㄤˋ　ㄇㄧˇ　ㄆㄧ,yōu xiàng mǐ pī
3144.0,偷世竊名,ㄊㄡ　ㄕˋ　ㄑㄧㄝˋ　ㄇㄧㄥˊ,tōu shì qiè míng
3145.0,價比連城,ㄐㄧㄚˋ　ㄅㄧˇ　ㄌㄧㄢˊ　ㄔㄥˊ,jià bǐ lián chéng
3146.0,侮文弄法,ㄨˇ　ㄨㄣˊ　ㄋㄨㄥˋ　ㄈㄚˇ,wǔ wén nòng fǎ
3147.0,翻陳出新,ㄈㄢ　ㄔㄣˊ　ㄔㄨ　ㄒㄧㄣ,fān chén chū xīn 
3148.0,僂指可數,ㄌㄡˊ　ㄓˇ　ㄎㄜˇ　ㄕㄨˇ,lóu zhǐ kě shǔ
3149.0,徐步當車,ㄒㄩˊ　ㄅㄨˋ　ㄉㄤ　ㄐㄩ,xú bù dāng jū
3150.0,飾外絮內,ㄕˋ　ㄨㄞˋ　ㄒㄩˋ　ㄋㄟˋ,shì wài xù nèi
3151.0,秋毫不染,ㄑㄧㄡ　ㄏㄠˊ　ㄅㄨˋ　ㄖㄢˇ,qiū háo bù rǎn
3152.0,稍識之無,ㄕㄠ　ㄕˋ　ㄓ　ㄨˊ,shāo shì zhī wú
3153.0,以逸擊勞,ㄧˇ　ㄧˋ　ㄐㄧˊ　ㄌㄠˊ,yǐ yì jí láo
3154.0,空空妙手,ㄎㄨㄥ　ㄎㄨㄥ　ㄇㄧㄠˋ　ㄕㄡˇ,kōng kōng miào shǒu
3155.0,空囊如洗,ㄎㄨㄥ　ㄋㄤˊ　ㄖㄨˊ　ㄒㄧˇ,kōng náng rú xǐ
3156.0,秋毫無擾,ㄑㄧㄡ　ㄏㄠˊ　ㄨˊ　ㄖㄠˇ,qiū háo wú rǎo
3157.0,流移失所,ㄌㄧㄡˊ　ㄧˊ　ㄕ　ㄙㄨㄛˇ,liú yí shī suǒ
3158.0,空谷之音,ㄎㄨㄥ　ㄍㄨˇ　ㄓ　ㄧㄣ,kōng gǔ zhī yīn
3159.0,愁眉不開,ㄔㄡˊ　ㄇㄟˊ　ㄅㄨˋ　ㄎㄞ,chóu méi bù kāi
3160.0,流寓失所,ㄌㄧㄡˊ　ㄩˋ　ㄕ　ㄙㄨㄛˇ,liú yù shī suǒ
3161.0,流汗沾背,ㄌㄧㄡˊ　ㄏㄢˋ　ㄓㄢ　ㄅㄟˋ,liú hàn zhān bèi
3162.0,秋水芙蕖,ㄑㄧㄡ　ㄕㄨㄟˇ　ㄈㄨˊ　ㄑㄩˊ,qiū shuǐ fú qú
3163.0,空囊羞澀,ㄎㄨㄥ　ㄋㄤˊ　ㄒㄧㄡ　ㄙㄜˋ,kōng náng xiū sè
3164.0,以身試險,ㄧˇ　ㄕㄣ　ㄕˋ　ㄒㄧㄢˇ,yǐ shēn shì xiǎn
3165.0,秋色平分,ㄑㄧㄡ　ㄙㄜˋ　ㄆㄧㄥˊ　ㄈㄣ,qiū sè píng fēn
3166.0,空拳赤手,ㄎㄨㄥ　ㄑㄩㄢˊ　ㄔˋ　ㄕㄡˇ,kōng quán chì shǒu
3167.0,泣牛衣,ㄑㄧˋ　ㄋㄧㄡˊ　ㄧ,qì niú yī
3168.0,沆瀣一襟,ㄏㄤˋ　ㄒㄧㄝˋ　ㄧ　ㄐㄧㄣ　（變）　ㄏㄤˋ　ㄒㄧㄝˋ　ㄧˋ　ㄐㄧㄣ,hàng xiè yī jīn （變） hàng xiè yì jīn
3169.0,空有其表,ㄎㄨㄥ　ㄧㄡˇ　ㄑㄧˊ　ㄅㄧㄠˇ,kōng yǒu qí biǎo
3170.0,泣對牛衣,ㄑㄧˋ　ㄉㄨㄟˋ　ㄋㄧㄡˊ　ㄧ,qì duì niú yī
3171.0,以漆投膠,ㄧˇ　ㄑㄧ　ㄊㄡˊ　ㄐㄧㄠ,yǐ qī tóu jiāo
3172.0,沆瀣一脈,ㄏㄤˋ　ㄒㄧㄝˋ　ㄧ　ㄇㄞˋ　（變）　ㄏㄤˋ　ㄒㄧㄝˋ　ㄧˊ　ㄇㄞˋ,hàng xiè yī mài （變） hàng xiè yí mài
3173.0,滴水石穿,ㄉㄧ　ㄕㄨㄟˇ　ㄕˊ　ㄔㄨㄢ,dī shuǐ shí chuān 
3174.0,以逸制勞,ㄧˇ　ㄧˋ　ㄓˋ　ㄌㄠˊ,yǐ yì zhì láo
3175.0,侮由自取,ㄨˇ　ㄧㄡˊ　ㄗˋ　ㄑㄩˇ,wǔ yóu zì qǔ
3176.0,完歸趙璧,ㄨㄢˊ　ㄍㄨㄟ　ㄓㄠˋ　ㄅㄧˋ,wán guī zhào bì
3177.0,寡信輕諾,ㄍㄨㄚˇ　ㄒㄧㄣˋ　ㄑㄧㄥ　ㄋㄨㄛˋ,guǎ xìn qīng nuò
3178.0,肩摩袂屬,ㄐㄧㄢ　ㄇㄛˊ　ㄇㄟˋ　ㄓㄨˇ,jiān mó mèi zhǔ
3179.0,寡不勝眾,ㄍㄨㄚˇ　ㄅㄨˋ　ㄕㄥˋ　ㄓㄨㄥˋ　（變）　ㄍㄨㄚˇ　ㄅㄨˊ　ㄕㄥˋ　ㄓㄨㄥˋ,guǎ bù shèng zhòng （變） guǎ bú shèng zhòng
3180.0,肩勞任怨,ㄐㄧㄢ　ㄌㄠˊ　ㄖㄣˋ　ㄩㄢˋ,jiān láo rèn yuàn
3181.0,寡聞陋見,ㄍㄨㄚˇ　ㄨㄣˊ　ㄌㄡˋ　ㄐㄧㄢˋ,guǎ wén lòu jiàn
3182.0,以沫相濡,ㄧˇ　ㄇㄛˋ　ㄒㄧㄤ　ㄖㄨˊ,yǐ mò xiāng rú
3183.0,寥寥無多,ㄌㄧㄠˊ　ㄌㄧㄠˊ　ㄨˊ　ㄉㄨㄛ,liáo liáo wú duō
3184.0,凜凜威風,ㄌㄧㄣˇ　ㄌㄧㄣˇ　ㄨㄟ　ㄈㄥ,lǐn lǐn wēi fēng
3185.0,家無四壁,ㄐㄧㄚ　ㄨˊ　ㄙˋ　ㄅㄧˋ,jiā wú sì bì
3186.0,寶花亂墜,ㄅㄠˇ　ㄏㄨㄚ　ㄌㄨㄢˋ　ㄓㄨㄟˋ,bǎo huā luàn zhuì
3187.0,室無長物,ㄕˋ　ㄨˊ　ㄓㄤˋ　ㄨˋ,shì wú zhàng wù
3188.0,安心塌地,ㄢ　ㄒㄧㄣ　ㄊㄚ　ㄉㄧˋ,ān xīn tā dì
3189.0,宣威耀武,ㄒㄩㄢ　ㄨㄟ　ㄧㄠˋ　ㄨˇ,xuān wēi yào wǔ
3190.0,寒灰復燃,ㄏㄢˊ　ㄏㄨㄟ　ㄈㄨˋ　ㄖㄢˊ,hán huī fù rán
3191.0,安分守拙,ㄢ　ㄈㄣˋ　ㄕㄡˇ　ㄓㄨㄛˊ,ān fèn shǒu zhuó
3192.0,流膾人口,ㄌㄧㄡˊ　ㄎㄨㄞˋ　ㄖㄣˊ　ㄎㄡˇ,liú kuài rén kǒu
3193.0,室徒四壁,ㄕˋ　ㄊㄨˊ　ㄙˋ　ㄅㄧˋ,shì tú sì bì
3194.0,穿鑿傅會,ㄔㄨㄢ　ㄗㄨㄛˋ　ㄈㄨˋ　ㄏㄨㄟˋ,chuān zuò fù huì
3195.0,以身試禍,ㄧˇ　ㄕㄣ　ㄕˋ　ㄏㄨㄛˋ,yǐ shēn shì huò
3196.0,守殘保缺,ㄕㄡˇ　ㄘㄢˊ　ㄅㄠˇ　ㄑㄩㄝ,shǒu cán bǎo quē
3197.0,穿楊百步,ㄔㄨㄢ　ㄧㄤˊ　ㄅㄞˇ　ㄅㄨˋ,chuān yáng bǎi bù
3198.0,守此失彼,ㄕㄡˇ　ㄘˇ　ㄕ　ㄅㄧˇ,shǒu cǐ shī bǐ
3199.0,牢補羊亡,ㄌㄠˊ　ㄅㄨˇ　ㄧㄤˊ　ㄨㄤˊ,láo bǔ yáng wáng
3200.0,客至如歸,ㄎㄜˋ　ㄓˋ　ㄖㄨˊ　ㄍㄨㄟ,kè zhì rú guī
3201.0,害理傷天,ㄏㄞˋ　ㄌㄧˇ　ㄕㄤ　ㄊㄧㄢ,hài lǐ shāng tiān
3202.0,酒瓮飯囊,ㄐㄧㄡˇ　ㄨㄥˋ　ㄈㄢˋ　ㄋㄤˊ,jiǔ wèng fàn náng
3203.0,凜然起敬,ㄌㄧㄣˇ　ㄖㄢˊ　ㄑㄧˇ　ㄐㄧㄥˋ,lǐn rán qǐ jìng
3204.0,汗流浹體,ㄏㄢˋ　ㄌㄧㄡˊ　ㄐㄧㄚˊ　ㄊㄧˇ,hàn liú jiá tǐ
3205.0,酒地花天,ㄐㄧㄡˇ　ㄉㄧˋ　ㄏㄨㄚ　ㄊㄧㄢ,jiǔ dì huā tiān
3206.0,竊鈴掩耳,ㄑㄧㄝˋ　ㄌㄧㄥˊ　ㄧㄢˇ　ㄦˇ,qiè líng yǎn ěr
3207.0,瀝肝呈膽,ㄌㄧˋ　ㄍㄢ　ㄔㄥˊ　ㄉㄢˇ,lì gān chéng dǎn
3208.0,案舉齊眉,ㄢˋ　ㄐㄩˇ　ㄑㄧˊ　ㄇㄟˊ,àn jǔ qí méi
3209.0,逼人咄咄,ㄅㄧ　ㄖㄣˊ　ㄉㄨㄛˋ　ㄉㄨㄛˋ,bī rén duò duò
3210.0,還童返老,ㄏㄨㄢˊ　ㄊㄨㄥˊ　ㄈㄢˇ　ㄌㄠˇ,huán tóng fǎn lǎo
3211.0,河盟山誓,ㄏㄜˊ　ㄇㄥˊ　ㄕㄢ　ㄕˋ,hé méng shān shì
3212.0,遠慮深謀,ㄩㄢˇ　ㄌㄩˋ　ㄕㄣ　ㄇㄡˊ,yuǎn lǜ shēn móu
3213.0,江淹才盡,ㄐㄧㄤ　ㄧㄢ　ㄘㄞˊ　ㄐㄧㄣˋ,jiāng yān cái jìn
3214.0,還珠買櫝,ㄏㄨㄢˊ　ㄓㄨ　ㄇㄞˇ　ㄉㄨˊ,huán zhū mǎi dú
3215.0,還魂起死,ㄏㄨㄢˊ　ㄏㄨㄣˊ　ㄑㄧˇ　ㄙˇ,huán hún qǐ sǐ
3216.0,逐末遺本,ㄓㄨˊ　ㄇㄛˋ　ㄧˊ　ㄅㄣˇ,zhú mò yí běn
3217.0,禮有往來,ㄌㄧˇ　ㄧㄡˇ　ㄨㄤˇ　ㄌㄞˊ,lǐ yǒu wǎng lái
3218.0,心爽神怡,ㄒㄧㄣ　ㄕㄨㄤˇ　ㄕㄣˊ　ㄧˊ,xīn shuǎng shén yí
3219.0,心狂意亂,ㄒㄧㄣ　ㄎㄨㄤˊ　ㄧˋ　ㄌㄨㄢˋ,xīn kuáng yì luàn
3220.0,割雞焉用,ㄍㄜ　ㄐㄧ　ㄧㄢ　ㄩㄥˋ,gē jī yān yòng
3221.0,心如刀切,ㄒㄧㄣ　ㄖㄨˊ　ㄉㄠ　ㄑㄧㄝ,xīn rú dāo qiē 
3222.0,心平氣溫,ㄒㄧㄣ　ㄆㄧㄥˊ　ㄑㄧˋ　ㄨㄣ,xīn píng qì wēn
3223.0,心如刀刺,ㄒㄧㄣ　ㄖㄨˊ　ㄉㄠ　ㄘˋ,xīn rú dāo cì
