字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
064900029,滿座,ㄇㄢˇ　ㄗㄨㄛˋ,mǎn zuò,
064900028,滿足,ㄇㄢˇ　ㄗㄨˊ,mǎn zú,
064900026,滿載,ㄇㄢˇ　ㄗㄞˋ,mǎn zài,
064900027,滿載而歸,ㄇㄢˇ　ㄗㄞˋ　ㄦˊ　ㄍㄨㄟ,mǎn zài ér guī,
064900025,滿身,ㄇㄢˇ　ㄕㄣ,mǎn shēn,
064900024,滿手,ㄇㄢˇ　ㄕㄡˇ,mǎn shǒu,
064900023,滿城風雨,ㄇㄢˇ　ㄔㄥˊ　ㄈㄥ　ㄩˇ,mǎn chéng fēng yǔ,
064900022,滿心歡喜,ㄇㄢˇ　ㄒㄧㄣ　ㄏㄨㄢ　ㄒㄧˇ,mǎn xīn huān xǐ,
064900021,滿心,ㄇㄢˇ　ㄒㄧㄣ,mǎn xīn,
0649000201,滿腔怒火,ㄇㄢˇ　ㄑㄧㄤ　ㄋㄨˋ　ㄏㄨㄛˇ,mǎn qiāng nù huǒ,
064900020,滿腔,ㄇㄢˇ　ㄑㄧㄤ,mǎn qiāng,
0649000190,滿江紅,ㄇㄢˇ　ㄐㄧㄤ　ㄏㄨㄥˊ,mǎn jiāng hóng,
0649000191,滿球數,ㄇㄢˇ　ㄑㄧㄡˊ　ㄕㄨˋ,mǎn qiú shù,
064900019,滿懷信心,ㄇㄢˇ　ㄏㄨㄞˊ　ㄒㄧㄣˋ　ㄒㄧㄣ,mǎn huái xìn xīn,
064900018,滿懷,ㄇㄢˇ　ㄏㄨㄞˊ,mǎn huái,
0649000171,滿臉通紅,ㄇㄢˇ　ㄌㄧㄢˇ　ㄊㄨㄥ　ㄏㄨㄥˊ,mǎn liǎn tōng hóng,
064900017,滿臉,ㄇㄢˇ　ㄌㄧㄢˇ,mǎn liǎn,
064900016,滿壘,ㄇㄢˇ　ㄌㄟˇ,mǎn lěi,
064900015,滿腦子,ㄇㄢˇ　ㄋㄠˇ　˙ㄗ,mǎn nǎo zi,
064900013,滿天,ㄇㄢˇ　ㄊㄧㄢ,mǎn tiān,
064900014,滿天星,ㄇㄢˇ　ㄊㄧㄢ　ㄒㄧㄥ,mǎn tiān xīng,
0649000121,滿堂彩,ㄇㄢˇ　ㄊㄤˊ　ㄘㄞˇ,mǎn táng cǎi,
064900012,滿堂,ㄇㄢˇ　ㄊㄤˊ,mǎn táng,
064900011,滿頭大汗,ㄇㄢˇ　ㄊㄡˊ　ㄉㄚˋ　ㄏㄢˋ,mǎn tóu dà hàn,
064900010,滿地,ㄇㄢˇ　ㄉㄧˋ,mǎn dì,
064900009,滿檔,ㄇㄢˇ　ㄉㄤˇ,mǎn dǎng,
064900008,滿腹經綸,ㄇㄢˇ　ㄈㄨˋ　ㄐㄧㄥ　ㄌㄨㄣˊ,mǎn fù jīng lún,
064900006,滿分,ㄇㄢˇ　ㄈㄣ,mǎn fēn,
