㓦劃	bohua
不登高山，不顯平地	budenggaoshan,buxianpingdi
不的	budi
不的個風兒就雨兒	budegefengrjiuyuer
不的個風兒就雨兒	budegefengrjiuyur
不省	buxing
不省事	buxingshi
不省人事	buxingrenshi
不省得	buxingde
不看僧面看佛面	bukansengmiankanfomian
不看金面看佛面	bukanjinmiankanfomian
不知天高地下	buzhitiangaodixia
不知天高地厚	buzhitiangaodihou
不立崖岸	buliyaian
不管生癬生瘡，我只生癩	buguanshengxianshengchuang,wozhishenglai
不管講雞講鴨，我只講鵝	buguanjiangjijiangya,wozhijiange
不終朝	buzhongzhao
不給	buji
不經一事，不長一智	bujingyishi,buzhangyizhi
不繆	bumiu
不老長生	bulaochangsheng
不聽老人言，吃虧在眼前	butinglaorenyan,chikuizaiyanqian
不能流芳百世，也要遺臭萬年	bunengliufangbaishi,yeyaoyichouwannian
不能自給	bunengziji
不著	buzhao
不著	buzhuo
不著一字	buzhuoyizi
不著不落	buzhuobuluo
不著人	buzhuoren
不著家	buzhuojia
不著家人，弄不得家鬼	buzhaojiaren,nongbudejiagui
不著忙	buzhaomang
不著急	buzhaoji
不著情	buzhuoqing
不著意	buzhuoyi
不著疼熱	buzhuotengre
不著痕跡	buzhuohenji
不著痛癢	buzhuotongyang
不著筋節	buzhuojinjie
不著腳	buzhuojiao
不著要	buzhuoyao
不著親	buzhuoqin
不著調	buzhuodiao
不著邊際	buzhuobianji
不著領頂兒	buzhuolingdingr
不著頭頂兒	buzhuotoudingr
不薄	bubo
不虞匱乏	buyukuifa
不見書傳	bujianshuzhuan
不見經傳	bujianjingzhuan
不記省	bujixing
不說不笑，不打不叫	bushuobuxiao,budabujiao
不說話，沒人當你是啞吧	bushuohua,meirendangnishiyaba
不調勻	butiaoyun
不調貼	butiaotie
不論天有眼，但管地無皮	buluntianyouyan,danguandiwupi
不豐不殺	bufengbushai
不賢都頭	buxiandutou
不避彊禦	bubiqiangyu
不還	buhuan
不阿	bue
不阿不撓	buebunao
不隄防	butifang
不露神色	buloushense
不露聲色	buloushengse
不露身手	buloushenshou
不露鋒芒	buloufengmang
不露風聲	buloufengsheng
不露馬腳	buloumajiao
不食之地	bushizhidi
不鳴則已，一鳴驚人	bumingzeyi,yimingjingren
不點兒	budianr
不點兒	budiar
不龜手藥	bujunshouyao
不龜藥	bujunyao
丑角	choujue
且月	juyue
世上無難事，只怕有心人	shishangwunanshi,zhipayouxinren
世情看冷暖，人面逐高低	shiqingkanlengnuan,renmianzhugaodi
世界地球日	shijiediqiuri
世界銀行	shijieyinhang
丘壑	qiuhuo
丟三落四	diusanlasi
丟下瓦磚兒，一個個要著地	diuxiawazhuanr,yigegeyaozhuodi
丟下瓦磚兒，一個個要著地	diuxiawazhuar,yigegeyaozhuodi
丟下耙兒弄掃帚	diuxiaparnongsaozhou
丫巴兒	yabar
中不溜兒	zhongbuliur
中國銀行	zhongguoyinhang
中地	zhongdi
中央空調系統	zhongyangkongtiaoxitong
中央銀行	zhongyangyinhang
中浣	zhongwan
中源地震	zhongyuandizhen
中的	zhongdi
中美地峽	zhongmeidixia
中藏	zhongzang
中覺	zhongjiao
中部地方	zhongbudifang
中都	zhongdu
中長鐵路	zhongchangtielu
中間地帶	zhongjiandidai
串秧兒	chuanyangr
丹丘	danqi
丹佛	danfo
丹參	danshen
丹客	dangui
丹心碧血	danxinbixie
丹書鐵券	danshutieqi
丹款	danke
丹氣	danjue
丹溜	danniao
丹甑	danzao
丹禁	danhuang
丹經	danjin
丹荑	danzeng
丹誠	danchen
丹誠相許	danchengbumin
丹輪	danliu
丹雘	danhuo
丹霄	danxia
丹霞	danxi
主兒	zhur
主從	zhuzong
主從式架構	zhuzongshijiagou
主從式資料庫	zhuzongshiziliaoku
主從架構	zhuzongjiagou
主從架構資訊網路	zhuzongjiagouzixunwanglu
主心骨兒	zhuxingur
主治大夫	zhuzhidaifu
主角	zhujue
主角	zhujue　
久別重逢	jiubiechongfeng
久安長治	jiuanchangzhi
久長	jiuchang
么二三的	yaoersande
么兒	yaoer
么喝	yaohe
么女	yaonu
么師	yaoshi
么末	yaomo
么篇	yaopian
么絃	yaoxian
么麼	yaomo
么麼小丑	yaomoxiaochou
之死靡他	zhisimituo
之死靡它	zhisimituo
乍入蘆圩	zharuluyu
乍暖還寒	zhanuanhuanhan
乏地	fadi
乏角兒	fajuer
乖乖兒的	guaiguairde
乖乖兒的	guaiguarde
乖性兒	guaixingr
乘傳	chengzhuan
乘勝逐北	chengshengzhubo
乘長風破萬里浪	chengchangfengpowanlilang
乘馬	shengma
乙炔	yique
九二一大地震	jiueryidadizhen
九地	jiudi
九還丹	jiuhuandan
九重	jiuchong
九重天	jiuchongtian
九重葛	jiuchongge
九重霄	jiuchongxiao
乞乞縮縮	qiqisusu
乞降	qixiang
也麼哥	yemoge
乣軍	diujun
乳癌	ruyan
乳臭	ruxiu
乳臭小子	ruxiuxiaozi
乳臭未乾	ruxiuweigan
乳臭未除	ruxiuweichu
乳酪	ruluo
乾乾	qianqian
乾乾兒的	ganganrde
乾乾兒的	gangarde
乾元	qianyuan
乾兒	ganr
乾兒	gar
乾咳	ganke
乾咽	ganye
乾噦	ganyue
乾圖	qiantu
乾坤	qiankun
乾坤一擲	qiankunyizhi
乾坤再造	qiankunzaizao
乾宅	qianzhai
乾打雷，不下雨	gandalei,buxiayu
乾斷	qianduan
乾旦	qiandan
乾曜	qianyao
乾沒	ganmo
乾清宮	qianqinggong
乾白兒	ganbair
乾白兒	ganbar
乾紅	qianhong
乾綱	qiangang
乾繃兒	ganbengr
乾落	ganlao
乾落得	ganlaode
乾著急	ganzhaoji
乾親家	ganqingjia
乾親家	ganqingjia　
乾象	qianxiang
乾造	qianzao
乾道	qiandao
乾酪	ganluo
乾陵	qianling
乾隆	qianlong
亂兒	lar
亂兒	luanr
亂兒媽	larma
亂兒媽	luanrma
亂彈	luantan
亂箭攢心	luanjiancuanxin
了不得	liaobude
了不成	liaobucheng
了不起	liaobuqi
了了	liaoliao
了事	liaoshi
了事環	liaoshihuan
了亮	liaoliang
了債	liaozhai
了兒	liaor
了劣	liaolie
了卻	liaoque
了如指掌	liaoruzhizhang
了局	liaoju
了帳	liaozhang
了得	liaode
了得了	liaodeliao
了悟	liaowu
了手	liaoshou
了收	liaoshou
了斷	liaoduan
了案	liaoan
了決	liaojue
了清	liaoqing
了無	liaowu
了無所有	liaowusuoyou
了無新意	liaowuxinyi
了無牽掛	liaowuqiangua
了無生機	liaowushengji
了無生趣	liaowushengqu
了無罣礙	liaowuguaai
了然	liaoran
了然不惑	liaoranbuhuo
了畢	liaobi
了當	liaodang
了當不得	liaodangbude
了納	liaona
了結	liaojie
了落	liaoluo
了解	liaojie
了訖	liaoqi
了話	liaohua
了語	liaoyu
