㓦劃	bohua
書無百日工	shuwuborigong
書讀五車	shuduwuju
書館兒	shuguanr
書館兒	shuguar
曹大家	caodagu
曾參	zengshen
曾參殺人	zengshensharen
曾國荃	zengguoquan
曾國藩	zengguofan
曾子	zengzi
曾子殺彘	zengzishazhi
曾孫	zengsun
曾文正	zengwenzheng
曾文水庫	zengwenshuiku
曾文溪	zengwenxi
曾樸	zengpu
曾母投杼	zengmutouzhu
曾母暗沙	zengmuansha
曾皙	zengxi
曾益	zengyi
曾祖	zengzu
曾祖母	zengzumu
曾祖父	zengzufu
曾紀澤	zengjize
曾著賣糖君子哄，如今不信口甜人	cengzhaomaitangjunzihong,rujinbuxinkoutianren
曾門	zengmen
曾鞏	zenggong
曾點	zengdian
替頭兒	titour
會兒	huer
會兒	huir
會弁	kuaibian
會撮	kuaizui
會朝	huizhao
會無好會，宴無好宴	huiwuhaohui,yanwuhaoyan
會稽	guiji
會稽之恥	guijizhichi
會稽山	guijishan
會稽縣	guijixian
會計	kuaiji
會計學	kuaijixue
會計師	kuaijishi
會計年度	kuaijiniandu
會計法	kuaijifa
月亮門兒	yueliangmenr
月亮門兒	yueliangmer
月地雲階	yuediyunjie
月夕花朝	yuexihuazhao
月夜花朝	yueyehuazhao
月孛	yuebo
月氏	yuezhi
月給	yueji
月落參橫	yueluoshenheng
月長石	yuechangshi
月頭兒	yuetour
有一分心，盡一分力	youyifenxin,jinyifenli
有一手兒	youyishour
有一步，沒一步	youyibu,meiyibu
有一頓，沒一頓	youyidun,meiyidun
有了存孝，不顯彥章	youlecunxiao,buxianyanzhang
有人緣兒	yourenyuanr
有人緣兒	yourenyuar
有例不滅，無例不興	youlibumie,wulibuxing
有信兒	youxier
有信兒	youxinr
有個地洞鑽了下去	yougedidongzuanlexiaqu
有個數兒	yougeshur
有個說兒	yougeshuor
有借有還，再借不難	youjieyouhuan,zaijiebunan
有兒靠兒，無兒靠婿	youerkaoer,wuerkaoxu
有冤報冤，有仇報仇	youyuanbaoyuan,youchoubaochou
有分兒	youfenr
有分兒	youfer
有刮劃，沒是處	youguahua,meishichu
有則改之，無則加勉	youzegaizhi,wuzejiamian
有勁	youjing
有名亡實	youmingwushi
有味兒	youweir
有味兒	youwer
有奇	youji
有好兒	youhaor
有家難奔，有國難投	youjiananben,youguonantou
有山無木，有水無魚	youshanwumu,youshuiwuyu
有心眼兒	youxinyanr
有心眼兒	youxinyar
有意栽花花不發，無心插柳柳成陰	youyizaihuahuabufa,wuxinchaliuliuchengyin
有感地震	yougandizhen
有數兒	youshur
有時有晌兒	youshiyoushangr
有朝一日	youzhaoyiri
有根兒有派兒	yougenryoupair
有根兒有派兒	yougeryoupar
有模子	youmuzi
有治人，無治法	youzhiren,wuzhifa
有準兒	youzhuer
有準兒	youzhunr
有滋有味兒	youziyouweir
有滋有味兒	youziyouwer
有的放矢	youdifangshi
有盼兒	youpanr
有盼兒	youpar
有碴兒	youchar
有福同享，有禍同當	youfutongxiang,youhuotongdang
有福同享，有難同當	youfutongxiang,younantongdang
有給職	youjizhi
有線電視暫行條例	youxiandianshizhanxingtiaoli
有緣千里來相會，無緣對面不相逢	youyuanqianlilaixianghui,wuyuanduimianbuxiangfeng
有聽頭兒	youtingtour
有落兒	youlaor
有著落	youzhuoluo
有行無市	youhangwushi
有譜兒	youpur
有道則見，無道則隱	youdaozexian,wudaozeyin
有酒膽，無飯力	youjiudan,wufanli
有錢買馬，沒錢置鞍	youqianmaima,meiqianzhian
有門兒	youmenr
有門兒	youmer
有面兒	youmianr
有面兒	youmiar
有頭兒	youtour
有鬼似的	youguiside
有點兒	youdianr
有點兒	youdianr　
有點兒	youdiar
有點影兒	youdianyingr
朋友妻，不可欺	pengyouqi,bukeqi
服低捋	fudile
服裝模特兒	fuzhuangmoter
服賈	fugu
服降	fuxiang
朗巴兒	langbar
朘削	juanxue
望風而降	wangfengerxiang
朝三暮四	zhaosanmusi
朝不保夕	zhaobubaoxi
朝不保暮	zhaobubaomu
朝不及夕	zhaobujixi
朝不圖夕	zhaobutuxi
朝不慮夕	zhaobuluxi
朝不謀夕	zhaobumouxi
朝乾夕惕	zhaoqianxiti
朝令夕改	zhaolingxigai
朝令暮改	zhaolingmugai
朝來暮去	zhaolaimuqu
朝兢夕惕	zhaojingxiti
朝出夕改	zhaochuxigai
朝升暮合	zhaoshengmuge
朝參暮禮	zhaocanmuli
朝四暮三	zhaosimusan
朝夕	zhaoxi
朝夕不倦	zhaoxibujuan
朝夕難保	zhaoxinanbao
朝天餛飩	chaotianhundun
朝思夕想	zhaosixixiang
朝思夕計	zhaosixiji
朝思暮想	zhaosimuxiang
朝日	zhaori
朝日新聞	zhaorixinwen
朝暉	zhaohui
朝暮	zhaomu
朝暮人	zhaomuren
朝暮課誦	zhaomukesong
朝暾	zhaotun
朝曦	zhaoxi
朝更夕改	zhaogengxigai
朝更暮改	zhaogengmugai
朝會	zhaohui
朝朝	zhaozhao
朝朝寒食，夜夜元宵	zhaozhaohanshi,yeyeyuanxiao
朝朝暮暮	zhaozhaomumu
朝東暮西	zhaodongmuxi
朝梁暮晉	zhaoliangmujin
朝梁暮陳	zhaoliangmuchen
朝楚暮秦	zhaochumuqin
朝榮夕悴	zhaorongxicui
朝榮夕斃	zhaorongxibi
朝榮夕滅	zhaorongximie
朝榮暮落	zhaorongmuluo
朝槿	zhaojin
朝歌	zhaoge
朝歌夜絃	zhaogeyexian
朝歌暮樂	zhaogemuyue
朝歌暮絃	zhaogemuxian
朝歌鼓刀	zhaogegudao
朝歡暮樂	zhaohuanmule
朝氣	zhaoqi
朝氣勃勃	zhaoqibobo
朝氣蓬勃	zhaoqipengbo
朝生暮死	zhaoshengmusi
朝發夕至	zhaofaxizhi
朝秦暮楚	zhaoqinmuchu
朝經暮史	zhaojingmushi
朝聞夕改	zhaowenxigai
朝聞夕死	zhaowenxisi
朝聞道，夕死可矣	zhaowendao,xisikeyi
朝菌	zhaojun
朝虀暮鹽	zhaojimuyan
朝行夕改	zhaoxingxigai
朝西暮東	zhaoximudong
朝趁暮食	zhaochenmushi
朝過夕改	zhaoguoxigai
朝鐘暮鼓	zhaozhongmugu
朝陽	zhaoyang
朝陽方案	zhaoyangfangan
朝陽鳴鳳	zhaoyangmingfeng
朝雲	zhaoyun
朝雲暮雨	zhaoyunmuyu
朝霞	zhaoxia
朝霧	zhaowu
朝露	zhaolu
朝飯	zhaofan
朝餐夜宿	zhaocanyesu
朝饔夕飧	zhaoyongxisun
朝鮮	zhaoxian
期功	jigong
期年	jinian
期月	jiyue
期月有成	jiyueyoucheng
期服	jifu
期歲	jisui
木實繁者，披枝害心	mushifanzhe,pizhihaixin
木強	mujiang
木木樗樗	mumushushu
木杓火杖兒短，強如手撥剌	mushaohuozhangr,duanqiangrushoubola
木柈子	mupanzi
木楂	mucha
木瓜酵素	muguaxiaosu
木禺	muou
木管樂器	muguanyueqi
木胎兒	mutair
木胎兒	mutar
木邊之目，田下之心	mubianzhimu,tianxiazhixin
木頭似的	mutouside
木頭眼鏡兒	mutouyanjingr
未了	weiliao
未了公案	weiliaogongan
未了因	weiliaoyin
未了情	weiliaoqing
未卜先知	weibuxianzhi
未省	weixing
末了	moliao
末兒	mor
末末了	momoliao
末腳	mojue
末著	mozhao
末行	mohang
末那識	mona
本地	bendi
本地人	bendiren
本地貨	bendihuo
本地風光	bendifengguang
本等伎倆	bendengjiliang
本色當行	bensedanghang
本行	benhang
札什倫布寺	zhashilunbusi
札板兒	zhabanr
札板兒	zhabar
朱提	shushi
朱提	zhushi
朱柏廬	zhubolu
朱雲折檻	zhuyunzhejian
朴硝	poxiao
朴資茅斯	pozimaosi
朴資茅斯條約	pozimaositiaoyue
朵頤大嚼	duoyidajiao
朹子	qiuzi
杆圈兒	ganquanr
杆圈兒	ganquar
杈桿兒	chaganr
杈桿兒	chagar
李下無蹊	lixiawuxi
李娃傳	liwazhuan
杏乾兒	xingganr
杏乾兒	xinggar
杏核兒	xingher
杏脯	xingfu
材輕德薄	caiqingdebo
村強	cunjiang
村生泊長	cunshengbozhang
杓倈	shaolai
杖期	zhangji
杖期夫	zhangjifu
杜塞	duse
杜門屏跡	dumenbingji
杯杓	beishao
杯水車薪	beishuijuxin
杯筊	beijiao
杯蛇鬼車	beisheguiju
東兒	dongr
東坡椅兒	dongpoyer
東坡椅兒	dongpoyir
東家長西家短	dongjiachangxijiaduan
東山老虎要吃人，西山老虎也要吃人	dongshanlaohuyaochiren,xishanlaohuyeyaochiren
東方騎	dongfangji
東柏林	dongbolin
東淨裡的磚兒	dongjinglidezhuanr
東淨裡的磚兒	dongjinglidezhuar
東瓜茄子	dongguaqiezi
東邊日出，西邊下雨	dongbianrichu,xibianxiayu
東都	dongdu
東量西折	dongliangxishe
東非大地塹	dongfeidadiqian
東鱗西爪	donglinxizhua
松柏	songbo
松柏之堅	songbozhijian
松柏之壽	songbozhishou
松柏之茂	songbozhimao
松柏園	songboyuan
松柏後凋	songbohoudiao
松柏節操	songbojiecao
松柏長青	songbochangqing
松柏長青茶	songbochangqingcha
松皮癬	songpixian
板兒	banr
板兒	bar
板兒車	banrche
板兒車	barche
板沓	banta
枉橈	wangnao
枓栱	zhugong
枕戈俟旦	zhengesidan
枕經藉史	zhenjingjieshi
枕藉	zhenjie
林口	linkouxiang
林口臺地	linkoutaidi
林地	lindi
林壑	linhuo
林薄	linbo
枘圓鑿方	ruiyuanzuofang
枘鑿	ruizuo
枚卜	meibu
果兒	guor
果勁	guojing
果子乾兒	guoziganr
果子乾兒	guozigar
果料兒	guoliaor
果碟兒	guodier
果脯	guofu
枝兒	zher
枝兒	zhir
枝指	qizhi
枳椇	jiju
枳首	jishou
枵腹重趼	xiaofuchongjian
架兒	jiar
架謊鑿空	jiahuangzuokong
枸櫞	juyuan
枸櫞酸	juyuansuan
枸醬	jujiang
枹鼓	fugu
枹鼓相應	fuguxiangying
柏京其	bojingqi
柏克	boke
柏克曼溫度計	bokemanwenduji
柏克萊	bokelai
柏利尼家族	bolinijiazu
柏卡里	bokali
柏吉烏斯	bojiwusi
柏塞麥	bosemai
柏子	bozi
柏府	bofu
柏拉圖	bolatu
柏文蔚	bowenwei
柏木	bomu
柏木油	bomuyou
柏林	bolin
柏林劇團	bolinjutuan
柏林圍牆	bolinweiqiang
柏林大學	bolindaxue
柏林影展	bolinyingzhan
柏林會議	bolinhuiyi
柏林樂派	bolinyuepai
柏格曼	bogeman
柏格森	bogesen
柏梁臺	boliangtai
柏梁詩	boliangshi
柏梁體	boliangti
柏樹	boshu
柏油	boyou
柏油紙	boyouzhi
柏油路	boyoulu
柏濟力阿斯	bojiliasi
柏濩	bohuo
柏特斯加登	botesijiadeng
柏翳	boyi
柏臺	botai
柏臺烏府	botaiwufu
柏舟	bozhou
柏舟之痛	bozhouzhitong
柏舟之節	bozhouzhijie
柏舟之誓	bozhouzhishi
柏舟操	bozhoucao
柏鄉縣	boxiangxian
柏酒	bojiu
柏金	bojin
柏金森氏病	bojinsenshibing
柏青哥	boqingge
柏頓	bodun
柏高	bogao
柞樹	zuoshu
柞蠶	zuocan
查士丁尼一世	zhashidingniyishi
查士丁尼法典	zhashidingnifadian
查士標	zhashibiao
查慎行	zhashenxing
查果	zhaguo
查梨	zhali
查沙	zhasha
查緝	chaqi
查裹	zhaguo
柬埔寨	jianpuzhai
柬埔寨民主國	jianpuzhaiminzhuguo
柳宿	liuxiu
柳毅傳	liuyizhuan
柳氏傳	liushizhuan
柳葉兒	liuyer
柴心兒	chaixier
柴心兒	chaixinr
柴立不阿	chailibue
柴達木盆地	chaidamupendi
柵剌子	zhalazi
柵子	zhazi
柵極	zhaji
柵欄	zhalan
柵門	zhamen
柷敔	zhuyu
栓塞	shuanse
栖息	xixi
栖栖	xixi
栖身	xishen
栗鑿	lizuo
栟柑	binggan
栟櫚	binglu
校人	jiaoren
校勘	jiaokan
校勘學	jiaokanxue
校場	jiaochang
校尉	jiaowei
校對	jiaodui
校對員	jiaoduiyuan
校改	jiaogai
校書	jiaoshu
校書郎	jiaoshulang
校本	jiaoben
校樣	jiaoyang
校正	jiaozheng
校準	jiaozhun
校獵	jiaolie
校理	jiaoli
校稿	jiaogao
校綴	jiaozhui
校訂	jiaoding
校計	jiaoji
校讎	jiaochou
校閱	jiaoyue
校點	jiaodian
根兒	genr
根兒	ger
根兒底下	genrdixia
根兒底下	gerdixia
根據地	genjudi
格列佛遊記	geliefoyouji
格喳	gecha
格地地	gedidi
格磴兒	gedengr
桁楊	hangyang
桂宮柏寢	guigongboqin
桃園中壢臺地	taoyuanzhonglitaidi
桃李不言，下自成行	taolibuyan,xiazichenghang
桃李不言，下自成蹊	taolibuyan,xiazichengxi
桃李不言，下自成蹊	taolibuyanxiazichengxi
桃李無言，下自成蹊	taoliwuyan,xiazichengxi
桃花薄命	taohuaboming
桌面兒上	zhuomianrshang
桌面兒上	zhuomiarshang
桑乾盆地	sangganpendi
桑葚	sangshen
桔桀	jiejie
桔梗	jiegeng
桔槔	jiegao
桔槔烽	jiegaofeng
桮杓	beishao
桿兒	ganr
桿兒	gar
桿兒上的	ganrshangde
桿兒上的	garshangde
梁園雖好，不是久戀之家	liangyuansuihao,bushijiulianzhijia
梁山泊	liangshanbo
梆兒頭	bangrtou
梗塞	gengse
條兒	tiaor
梟騎	xiaoji
梨乾兒	liganr
梨乾兒	ligar
梨園行	liyuanhang
梵剎	fancha
梵唄	fanbai
梵筴	fanjia
棄甲曳兵	qijiayibing
棄短取長	qiduanquchang
棄車保帥	qijubaoshuai
棉猴兒	mianhour
棉花店著火	mianhuadianzhaohuo
棉薄之力	mianbozhili
棉都	miandu
棋逢對手，將遇良才	qifengduishou,jiangyuliangcai
棋高一著	qigaoyizhuo
棍兒茶	guercha
棍兒茶	gunrcha
棒兒香	bangrxiang
棒打薄情郎	bangdaboqinglang
棚圈	pengjuan
棲息地	qixidi
棺材出了討挽歌郎錢	guancaichuliaotaowangelangqian
椎埋	zhuimai
椎床倒枕	zhuichuangdaozhen
椎心	zhuixin
椎心泣血	zhuixinqixie
椎心蝕骨	zhuixinshigu
椎拍輐斷	zhuipaiwanduan
椎棒	zhuibang
椎牛饗士	zhuiniuxiangshi
椎秦	zhuiqin
椎輪	zhuilun
椎輪大輅	zhuilundalu
椎骨	zhuigu
椎髻	zhuiji
椎魯	zhuilu
椹質	zhenzhi
楂楂	chacha
楅衡	fuheng
楊葉竄兒	yangyecuanr
楊葉竄兒	yangyecuar
楓橋夜泊	fengqiaoyebo
楖人	jieren
楚些	chusuo
楞伽經	lengqiejing
楮知白	chuzhibo
楯鼻	shunbi
極地	jidi
極地氣候	jidiqihou
概括	gaigua
概括承受	gaiguachengshou
榆瞑豆重	yumiandouzhong
榜人	bengren
榜女	bengnu
榜掠	benglue
榜楚	bengchu
榜歌	bengge
榜笞	bengchi
榜箠	bengchui
榴霰彈	liuxiandan
槁項黃馘	gaoxianghuangxu
構造地震	gouzaodizhen
槭糖漿	cutangjiang
槭葉止血草	cuyezhixiecao
槮爽	sanshuang
槽兒	caor
樁兒	zhuangr
樂亭大鼓	laotingdagu
樂人	yueren
樂兒	ler
樂句	yueju
樂史	yueshi
樂品	yuepin
樂器	yueqi
樂團	yuetuan
樂壇	yuetan
樂婦	yuefu
樂山樂水	yaoshanyaoshui
樂工	yuegong
樂師	yueshi
樂床	yuechuang
樂府	yuefu
樂府指迷	yuefuzhimi
樂府詩	yuefushi
樂府詩集	yuefushiji
樂府雜錄	yuefuzalu
樂式	yueshi
樂律	yuelu
樂戶	yuehu
樂探	yuetan
樂曲	yuequ
樂棚	yuepeng
樂歌	yuege
樂正	yuezheng
樂毅	yueyi
樂毅論	yueyilun
樂池	yuechi
樂理	yueli
樂章	yuezhang
樂籍	yueji
樂紋兒	lewenr
樂紋兒	lewer
樂素	yuesu
樂經	yuejing
樂群	yaoqun
樂群	yaoqun　
樂翁	yueweng
樂聖	yuesheng
樂聲	yuesheng
樂舞	yuewu
樂記	yueji
樂語	yueyu
樂論	yuelun
樂譜	yuepu
樂迷	yuemi
樂道安貧	yaodaoanpin
樂部	yuebu
樂隊	yuedui
樂音	yueyin
樊於期	fanwuqi
樓車	louju
樗散	shusan
樗朽之材	shuxiuzhicai
樗材	shucai
樗櫟	shuli
樗櫟庸材	shuliyongcai
樗蒲	shupu
標兒	biaor
標勁兒	biaojier
標勁兒	biaojinr
標的	biaodi
標的物	biaodiwu
標行	biaohang
標識	biaozhi
標題音樂	biaotiyinyue
模子	muzi
模樣	muyang
模特兒	moter
樣冊子	yangchaizi
樸訥	puna
樸訥誠篤	punachengdu
樹涼兒	shuliangr
樹猶如此，人何以堪	shuyouruci,renheyikan
樹碑立傳	shubeilizhuan
樹行子	shuhangzi
樹高千丈，落葉歸根	shugaoqianzhang,luoyeguigen
樿傍	zhanpang
橈動脈	naodongmai
橈敗	naobai
橈骨	naogu
機不可失，時不再來	jibukeshi,shibuzailai
機伶變兒	jilingbianr
機伶變兒	jilingbiar
機伶鬼兒	jilingguer
機伶鬼兒	jilingguir
機兒不快，梭兒快	jierbukuai,suoerkuai
機括	jigua
機辟	jibi
橫打鼻梁兒	hengdabiliangr
橫撐船兒	hengchengchuanr
橫撐船兒	hengchengchuar
橫枝兒	hengzher
橫枝兒	hengzhir
橫痃	hengxian
橫針不拈，豎線不動	hengzhenbunian,shuxianbudong
檀車	tanju
檉柏	chengbo
檜木	kuaimu
檜柏	kuaibo
檢括	jiangua
檢校	jianjiao
檻檻	jianjian
檻猿籠鳥	jianyuanlongniao
檻車	jianju
櫃面兒	guimianr
櫃面兒	guimiar
櫛垢爬癢	jiegoupayang
櫛工	jiegong
櫛櫛	jiejie
櫛次鱗比	jiecilinbi
櫛比	jiebi
櫛比鱗差	jiebilinci
櫛比鱗次	jiebilinci
櫛沐	jiemu
櫛沐風雨	jiemufengyu
櫛風沐雨	jiefengmuyu
櫛髮工	jiefagong
櫳門兒	longmenr
櫳門兒	longmer
欃槍	chancheng
欄柵	lanzha
欄楯	lanshun
權軸	quanzhu
欠債還錢	qianzhaihuanqian
欠肚兒親家	qiandurqinjia
次且	ziju
次殖民地	cizhimindi
次著	cizhuo
欣生惡死	xinshengwusi
欬唾成珠	ketuochengzhu
欲不可從	yubukezong
欲人不知，莫若勿為	yurenbuzhi,moruowuwei
欲加之罪，何患無辭	yujiazhizui,hehuanwuci
欲壑難填	yuhuonantian
欲壑難飽	yuhuonanbao
欲就還推	yujiuhuantui
欲深谿壑	yushenxihuo
欲蓋彌著	yugaimizhu
欲語還休	yuyuhuanxiu
欲說還休	yushuohuanxiu
欲逸惡勞	yuyiwulao
欺天罔地	qitianwangdi
欺天誑地	qitiankuangdi
欺行霸市	qihangbashi
欻吸	huxi
欽差	qinchai
欽差大臣	qinchaidachen
欽賜	qinsi
欽遲	qinzhi
款兒	kuanr
款兒	kuar
款識	kuanzhi
歃血為盟	shaxieweimeng
歇會兒	xiehuer
歇會兒	xiehuir
歇泊	xiebo
歌樂	geyue
歙張	xizhang
歙歙	xixi
歙漆阿膠	sheqiejiao
歙肩	xijian
歙赩	xixi
歛襟危坐	lianjinweizuo
歡喜佛	huanxifo
歡喜錢兒	huanxiqianr
歡喜錢兒	huanxiqiar
歡天喜地	huantianxidi
歡洽	huanxia
止咳	zhike
止泊	zhibo
止血	zhixie
止血劑	zhixieji
止血帶	zhixiedai
止血法	zhixiefa
止血點	zhixiedian
正傳	zhengzhuan
正正之旗，堂堂之陳	zhengzhengzhiqi,tangtangzhizhen
正身率下	zhengshenshuaixia
正鵠	zhenggu
此一時，彼一時	ciyishi,biyishi
此地	cidi
此地無銀三百兩	cidiwuyinsanbailiang
此而可忍，孰不可容	cierkeren,shubukerong
此而可忍，孰不可忍	cierkeren,shubukeren
此處不留人，自有留人處	cichubuliuren,ziyouliurenchu
步砌	buqie
步碾兒	bunianr
步碾兒	buniar
步輦兒	bunianr
步輦兒	buniar
步飛煙傳	bufeiyanzhuan
步騎	buji
步驟	buzou
武行	wuhang
歪打正著	waidazhengzhao
歪行貨	waihanghuo
歲寒松柏	suihansongbo
歲會	suikuai
歲朘月耗	suijuanyuehao
歲朝	suizhao
歷史重演	lishichongyan
歷遍	lipian
歸師勿掩，窮寇莫追	guishiwuyan,qiongkoumozhui
歸心似箭	guixinsijian
歸省	guixing
歸著	guizhuo
歸遺細君	guiweixijun
歸還	guihuan
歸降	guixiang
死不了	sibuliao
死不死，活不活	sibusi,huobuhuo
死亡給付	siwangjifu
死傷相藉	sishangxiangjie
死吃死嚼	sichisijiao
死地	sidi
死地求生	sidiqiusheng
死心倒地	sixindaodi
死心塌地	sixintadi
死心搭地	sixindadi
死心榻地	sixintadi
死心眼兒	sixinyanr
死心眼兒	sixinyar
死心落地	sixinluodi
死摳兒	sikour
死有重於泰山，輕於鴻毛	siyouzhongyutaishan,qingyuhongmao
死模活漾	simuhuoyang
死水兒	sishuer
死水兒	sishuir
死無葬身之地	siwuzangshenzhidi
死生契闊	sishengqiekuo
死生未卜	sishengweibu
死相枕藉	sixiangzhenjie
死膛兒	sitangr
死規矩兒	siguijur
歿地	modi
殊功勁節	shugongjingjie
殊轍同歸	shuchetonggui
殖民地	zhimindi
殗殜	yeye
殘賊	canze
殞沒	yunmo
殫見洽聞	danjianxiawen
殷墟卜辭	yinxubuci
殷天動地	yintiandongdi
殷天震地	yintianzhendi
殷殷屯屯	yinyinzhunzhun
殷然	yanran
殷紅	yanhong
殺人不見血	sharenbujianxie
殺人不過頭點地	sharenbuguotoudiandi
殺人償命，欠債還錢	sharenchangming,qianzhaihuanqian
殺人須見血，救人須救徹	sharenxujianxie,jiurenxujiuche
殺出重圍	shachuchongwei
殺衣縮食	shaiyisuoshi
殺衣縮食	shaiyisushi
殽亂	yaoluan
殽核	yaohe
殽舛	yaochuan
殽雜	yaoza
殽饌	yaozhuan
殿屎	dianxi
毀舟為杕	huizhouweiduo
母兒	mur
母匙	muchi
母姊會	mujiehui
每日逐朝	meirizhuzhao
每朝每日	meizhaomeiri
每朝逐日	meizhaozhuri
比上不足，比下有餘	bishangbuzu,bixiayouyu
比不了	bibuliao
比似	bisi
比校	bijiao
毗婆尸佛	piposhifo
毗舍婆佛	pishepofo
毛司火性兒	maoszhuoxingr
毛司裡磚兒	maoszlizhuanr
毛司裡磚兒	maoszlizhuar
毛地黃	maodihuang
毛坯	maopei
毛廁	maosi
毛廁裡磚兒	maoszlizhuanr
毛廁裡磚兒	maoszlizhuar
毛細血管	maoxixieguan
毛血	maoxie
毣毣	maomao
毷氉	maozao
氂牛	liniu
氂纓	liying
氅衣兒	changyer
氅衣兒	changyir
氍毹	quyu
民不畏死，奈何以死懼之	minbuweisi,naiheyisijuzhi
民俗音樂	minsuyinyue
民族樂器	minzuyueqi
民族樂隊	minzuyuedui
民族音樂	minzuyinyue
民窮財匱	minqiongcaikui
氣不喘，色不變	qibuchuan,sebubian
氣充文見	qichongwenxian
氣勢磅礴	qishipangbo
氣咽聲絲	qiyeshengsi
氣塞	qise
氣血	qixie
氣血方剛	qixiefanggang
氣貫長虹	qiguanchanghong
氣鳴樂器	qimingyueqi
氮血症	danxiezheng
水來伸手，飯來張口	shuilaishenshou,fanlaizhangkou
水來土壓，兵至將迎	shuilaituya,bingzhijiangying
水來土掩，兵到將迎	shuilaituyan,bingdaojiangying
水來土掩，兵至將迎	shuilaituyan,bingzhijiangying
水來土掩，將至兵迎	shuilaituyan,jiangzhibingying
水宿	shuixiu
水平不流，人平不言	shuipingbuliu,renpingbuyan
水撲花兒	shuipuhuar
水柵	shuizha
水樣液	shuiyangyi
水泥熟料	shuinishouliao
水流濕，火就燥	shuiliushi,huojiuzao
水淺長流	shuiqianchangliu
水滸傳	shuihuzhuan
水火籃兒	shuihuolanr
水火籃兒	shuihuolar
水牛兒	shuiniur
水能載舟，亦能覆舟	shuinengzaizhou,yinengfuzhou
水花兒	shuihuar
水蔥兒似的	shuicongrside
水裡水裡來，火裡火裡去	shuilishuililai,huolihuoliqu
水過地皮溼	shuiguodipishi
水遠山長	shuiyuanshanchang
水都	shuidu
水音兒	shuiyer
水音兒	shuiyinr
水頭兒	shuitour
水黽	shuimin
永錫不匱	yongxibukui
汁兒	zher
汁兒	zhir
求爺爺，告奶奶	qiuyeye,gaonainai
求生不得，求死不能	qiushengbude,qiusibuneng
求神問卜	qiushenwenbu
求神拜佛	qiushenbaifo
汗巾兒	hanjier
汗巾兒	hanjinr
汗洽股慄	hanxiaguli
汗流洽背	hanliuxiabei
汗液	hanyi
汗絡兒	hanlaor
汗血馬	hanxiema
汗褂兒	hanguar
汗褟兒	hantar
汙尊	wazun
汙庳	wabei
汙水	yushui
汙膺	waying
汛地	xundi
汞齊	gongji
江山好改，秉性難移	jiangshanhaogai,bingxingnanyi
江山易改，本性難移	jiangshanyigai,benxingnanyi
江山易改，稟性難移	jiangshanyigai,bingxingnanyi
江河行地	jianghexingdi
江都縣	jiangduxian
汩徂	yucu
汩沒	gumo
汩流	yuliu
汩越	yuyue
汪濊	wangwei
汪踦	wangqi
汴堤	bianti
汸汸	pangpang
決了	jueliao
決堤	jueti
決驟	juezou
汽輾	qinian
沃果兒	woguor
沃枝葉，不如培根本	wozhiye,burupeigenben
沈亞之	shenyazhi
沈佺期	shenquanqi
沈兼士	shenjianshi
沈周	shenzhou
沈尹默	shenyinmo
沈崇誨	shenchonghui
沈從文	shencongwen
沈復	shenfu
沈括	shengua
沈約	shenyue
沈腰	shenyao
沈腰潘鬢	shenyaopanbin
沈葆楨	shenbaozhen
沈雲英	shenyunying
沉沒	chenmo
沉著	chenzhuo
沉著痛快	chenzhuotongkuai
沏油	quyou
沐雨櫛風	muyujiefeng
沒下	moxia
沒不煞	mobusha
沒世	moshi
沒世不忘	moshibuwang
沒世難忘	moshinanwang
沒主兒	meizhur
沒亂	moluan
沒亂死	moluansi
沒亂殺	moluansha
沒亂煞	moluansha
沒亂裡	moluanli
沒了	mole
沒了期	meiliaoqi
沒了當	meiliaodang
沒了結處	meiliaojiechu
沒了落	meiliaoluo
沒事哏	meishihen
沒人	moren
沒個裡兒表兒	meigelierbiaor
沒個裡兒表兒	meigelirbiaor
沒入	moru
沒勁	meijing
沒包彈	meibaotan
沒吃過豬肉，也見過豬跑	meichiguozhurou,yejianguozhupao
沒合眼兒	meiheyanr
沒合眼兒	meiheyar
沒味兒	meiweir
沒味兒	meiwer
沒命似的	meimingside
沒嘴道兒	meizuidaor
沒地	modi
沒地兒	meidier
沒地兒	meidir
沒地縫兒鑽進去	meidifengrzuanjinqu
沒地裡巡檢	meidilixunjian
沒奈何	monaihe
沒子兒	meizer
沒子兒	meizir
沒完沒了	meiwanmeiliao
沒官	moguan
沒底兒	meidir
沒彈剝	meitanbo
沒影兒	meiyingr
沒影的話兒	meiyingdehuar
沒後	mohou
沒得空兒	meidekongr
沒忽的	mohudi
沒意兒	meiyer
沒意兒	meiyir
沒捆兒	meikuer
沒捆兒	meikunr
沒揣的	mochuaidi
沒撩沒亂	meiliaomoluan
沒收	moshou
沒是哏	meishihen
沒有影兒	meiyouyingr
沒有準兒	meiyouzhuer
沒有準兒	meiyouzhunr
沒查沒利	meizhameili
沒棱縫兒	meilengfengr
沒死以聞	mosiyiwen
沒水	moshui
沒沒	momo
沒沒無聞	momowuwen
沒海履地	mohailudi
沒準兒	meizhuer
沒準兒	meizhunr
沒溜兒	meiliur
沒溺	moni
沒留沒亂	meiliumoluan
沒縫兒	meifengr
沒而不朽	moerbuxiu
沒落	moluo
沒落兒	meilaor
沒落子	meilaozi
沒著沒落	meizhuomeiluo
沒著落	meizhuoluo
沒藥	moyao
沒行款	meihangkuan
沒詞兒	meicer
沒詞兒	meicir
沒調教	meitiaojiao
沒身	moshen
沒身不忘	moshenbuwang
